Script|First_Line_Doc
userenv.sql|No documentation found
usid.sql|No documentation found
uspid.sql|No documentation found
usql.sql|Purpose:     Show another session's SQL directly from library cache
usqlx.sql|Purpose:     Show another session's SQL directly from library cache
utopsql.sql|No documentation found
uu.sql|No documentation found
v.sql|No documentation found
v2.sql|Show SQL text of views matching "&1"...
var.sql|No documentation found
vaud.sql|No documentation found
vstat.sql|No documentation found
w.sql|What's going on right now?!
w4.sql|What's going on right now?!
waitprof.sql|Purpose:     Sample V$SESSION_WAIT at high frequency and show resulting 
wat.sql|No documentation found
wc.sql|No documentation found
wp.sql|No documentation found
wr.sql|....where rownum <= &1
wrk.sql|Purpose:     List "last completed execution" SQL workarea memory and TEMP usage details 
wrka.sql|Purpose:     List ACTIVE SQL workarea memory usage details at session/workarea level.
wrkasum.sql|Purpose:     Show a summary of ACTIVE SQL workareas grouped by operation type (SORT, HASH, etc)
x.sql|Display execution plan for last statement for this session from library cache...
x101.sql|No documentation found
x2.sql|No documentation found
x9.sql|No documentation found
x9a.sql|No documentation found
x9all.sql|No documentation found
xa.sql|No documentation found
xad.sql|Display execution plan for last statement for this session from library cache...
xall.sql|No documentation found
xawr.sql|No documentation found
xb.sql|Purpose:     Explain a SQL statements execution plan with execution 
xbi.sql|Purpose:     Explain a SQL statements execution plan with execution 
xbix.sql|Purpose:     Explain a SQL statements execution plan with execution 
xbx.sql|Purpose:     Explain a SQL statements execution plan with execution 
xco.sql|No documentation found
xde.sql|No documentation found
xde2.sql|Purpose:     Describe X$ tables, column offsets and report indexed fixed table
xi.sql|eXplain the execution plan for sqlid &1 child &2....
xia.sql|Display Execution plan in advanced format for sqlid &1
xiad.sql|eXplain the execution plan for sqlid &1 child &2....
xip.sql|eXplain the execution plan for sqlid &1 child &2....
xls.sql|No documentation found
xm.sql|Purpose:     Explain a SQL statements execution plan directly from library cache
xma.sql|Purpose:     Explain a SQL statements execution plan directly from library cache
xmai.sql|Purpose:     Explain a SQL statements execution plan with execution 
xmon.sql|No documentation found
xms.sql|Purpose:     Explain your last SQL statements execution plan with execution 
xms2.sql|No documentation found
xmsh.sql|Purpose:     Explain a SQL statements execution plan with execution 
xmsi.sql|Purpose:     Explain a SQL statements execution plan with execution 
xp.sql|eXplain with Profile: Running DBMS_SQLTUNE.REPORT_SQL_MONITOR for SID &1....
xpa.sql|eXplain with Profile: Running DBMS_SQLTUNE.REPORT_SQL_MONITOR for SID &1.... (11.2+)
xph.sql|eXplain with Profile: Running DBMS_SQLTUNE.REPORT_SQL_MONITOR for SID &1....
xpi.sql|eXplain with Profile: Running DBMS_SQLTUNE.REPORT_SQL_MONITOR for SQL_ID &1....
xpia.sql|eXplain with Profile: Running DBMS_SQLTUNE.REPORT_SQL_MONITOR for SQL_ID &1.... (11.2+)
xpih.sql|eXplain with Profile: Running DBMS_SQLTUNE.REPORT_SQL_MONITOR for SQL_ID &1.... (11.2+)
xplto.sql|Show execution plan operations and options matching &1 (11g+)
xpm.sql|No documentation found
xprof.sql|prompt Running DBMS_SQLTUNE.REPORT_SQL_MONITOR for SID &3....
xr.sql|No documentation found
xs.sql|No documentation found
xsid.sql|No documentation found
xsida.sql|No documentation found
xt.sql|No documentation found
xte.sql|No documentation found
xtreset.sql|No documentation found
xx.sql|Display execution plan for last statement for this session from library cache...
ash/ash_index_helper.sql|No documentation found
ash/ash_index_helperx.sql|No documentation found
ash/ash_log_file_sync.sql|No documentation found
ash/ash_object_predicates.sql|No documentation found
ash/ash_wait_chains.sql|Purpose:     Display ASH wait chains (multi-session wait signature, a session
ash/ashmem.sql|No documentation found
ash/ashpeak.sql|Purpose:     
ash/ashpeaktop.sql|Purpose:     
ash/ashtop.sql|Purpose:     Display top ASH time (count of ASH samples) grouped by your
ash/ashtop10.sql|Purpose:     Display top ASH time (count of ASH samples) grouped by your
ash/ashtopsum.sql|Purpose:     Display top ASH time (count of ASH samples) grouped by your
ash/asqlflame.sql|No documentation found
ash/asqlmon.sql|Purpose:     Report SQL-monitoring-style drill-down into where in an execution plan the execution time is spent
ash/asqlmon12.sql|Purpose:     Report SQL-monitoring-style drill-down into where in an execution plan the execution time is spent
